Category,Model,Rating,RaterID,Score
Escapist-Dreamy,leandre,Kawaii,Joey,3
Escapist-Dreamy,leandre,Warmth,Joey,4
Escapist-Dreamy,leandre,Expressiveness,Joey,4
Playful-Clumsy,leandro,Kawaii,Joey,3
Playful-Clumsy,leandro,Warmth,Joey,3
Playful-Clumsy,leandro,Expressiveness,Joey,4
